chiefdom,district
Badjia,Bo
Bagbo,Bo
Bagbwe(Bagbe),Bo
Bagruwa,Moyamba
Barri,Pujehun
Bendu-Cha,Bonthe
Biriwa,Bombali
Bo Town,Bo
Boama,Bo
Bombali Sebora,Bombali
Bonthe Urban,Bonthe
Bramaia,Kambia
Bum,Bonthe
Bumpe Ngao,Bo
Bumpeh,Moyamba
Bureh Kasseh Ma,Port Loko
Buya Romende,Karene
Central I,Western Area Urban
Central II,Western Area Urban
Dama,Kenema
Dasse,Moyamba
Dea,Kailahun
Dema,Bonthe
Dembelia - Sink,Falaba
Diang,Koinadugu
Dibia,Karene
Dodo,Kenema
East I,Western Area Urban
East II,Western Area Urban
East III,Western Area Urban
Fakunya,Moyamba
Fiama,Kono
Folosaba Dembel,Falaba
Galliness Perri,Pujehun
Gaura,Kenema
Gbane,Kono
Gbane Kandor,Kono
Gbanti Kamarank,Bombali
Gbendembu Ngowa,Bombali
Gbense,Kono
Gbinle Dixing,Kambia
Gbo,Bo
Gbonkolenken,Tonkolili
Gorama Kono,Kono
Gorama Mende,Kenema
Imperri,Bonthe
Jaiama Bongor,Bo
Jawie,Kailahun
Jong,Bonthe
Kafe Simiria,Tonkolili
Kaffu Bullom,Port Loko
Kagboro,Moyamba
Kaiyamba,Moyamba
Kakua,Bo
Kalansogoia,Tonkolili
Kamajei,Moyamba
Kamara,Kono
Kandu Leppiama,Kenema
Kasunko,Koinadugu
Kenema Town,Kenema
Kholifa Mabang,Tonkolili
Kholifa Rowala,Tonkolili
Kissi Kama,Kailahun
Kissi Teng,Kailahun
Kissi Tongi,Kailahun
Koidu Town,Kono
Komboya,Bo
Kongbora,Moyamba
Kori,Moyamba
Kowa,Moyamba
Koya,Kenema
Koya (Port Loko),Port Loko
Koya Rural,Western Area Rural
Kpaka,Pujehun
Kpanda Kemo,Bonthe
Kpeje Bongre,Kailahun
Kpeje West,Kailahun
Kunike,Tonkolili
Kunike Barina,Tonkolili
Kwamebai Krim,Bonthe
Langrama,Kenema
Lei,Kono
Libeisaygahun,Karene
Lokomasama,Port Loko
Lower Bambara,Kenema
Lower Banta,Moyamba
Luawa,Kailahun
Lugbu,Bo
Mafindor,Kono
Maforki,Port Loko
Magbaimba Ndorh,Bombali
Magbema,Kambia
Makari Gbanti,Karene
Makeni Town,Bombali
Makpele,Pujehun
Malal Mara,Tonkolili
Malegohun,Kenema
Malema,Kailahun
Malen,Pujehun
Mambolo,Kambia
Mandu,Kailahun
Marampa,Port Loko
Masimera,Port Loko
Masungbala,Kambia
Mongo,Falaba
Mono Sakrim,Pujehun
Mountain Rural,Western Area Rural
Neya,Falaba
Niawa,Kenema
Niawa Lenga,Bo
Nieni,Koinadugu
Nimikoro,Kono
Nimiyama,Kono
Njaluahun,Kailahun
Nomo,Kenema
Nongoba Bullom,Bonthe
Nongowa,Kenema
Paki Masabong,Bombali
Panga Kabonde,Pujehun
Panga krim,Pujehun
Pejeh(Futa peje,Pujehun
Penguia,Kailahun
Ribbi,Moyamba
Safroko Limba,Bombali
Sambaya,Tonkolili
Samu,Kambia
Sanda Loko,Karene
Sanda Magbolont,Karene
Sanda Tendaran,Karene
Sandor,Kono
Selenga,Bo
Sella Limba,Karene
Sengbe,Koinadugu
Simbaru,Kenema
Sittia,Bonthe
Small Bo,Kenema
Soa,Kono
Sogbeni,Bonthe
Soro Gbema,Pujehun
Sowa,Pujehun
Sulima,Falaba
TMS,Port Loko
Tambakha,Karene
Tane,Tonkolili
Tankoro,Kono
Tikonko,Bo
Timdale,Moyamba
Toli,Kono
Tonko Limba,Kambia
Tunkia,Kenema
Upper Bambara,Kailahun
Upper Banta,Moyamba
Valunia,Bo
Wandor,Kenema
Wara Wara Bafod,Koinadugu
Wara Wara Yagal,Koinadugu
Waterloo Rural,Western Area Rural
West I,Western Area Urban
West II,Western Area Urban
West III,Western Area Urban
Wonde,Bo
Yakemu Kpukumu,Pujehun
Yawbeko,Bonthe
Yawei,Kailahun
Yoni,Tonkolili
York Rural,Western Area Rural
